path,iou,tp/fp,Precision,Recall,ip
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 1,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 2,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 3,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 4,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 5,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 6,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 7,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 8,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 9,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 10,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 11,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 12,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 13,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 14,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 15,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 16,0.0,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 17,0.24633123689727462,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 18,0.2627459749552773,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 19,0.25042625745950553,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 20,0.22888283378746593,FP,0.0,0.0,0.0
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 21,0.7030373831775701,TP,0.047619047619047616,0.03571428571428571,0.047619047619047616
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 22,0.6793159990630124,TP,0.09090909090909091,0.06896551724137931,0.09090909090909091
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 23,0.5947930574098799,TP,0.13043478260869565,0.1,0.13043478260869565
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 24,0.6302064896755162,TP,0.16666666666666666,0.12903225806451613,0.16666666666666666
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 25,0.5932337632948631,TP,0.2,0.15625,0.2
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 26,0.8142347343378271,TP,0.23076923076923078,0.18181818181818182,0.23076923076923078
/Users/davidchoqueluqueroman/Desktop/PAPERS-CODIGOS/violencedetection2/AnomalyCRIMEDATASET/UCFCrime2Local/frames_reduced/Vandalism014---segment No: 27,0.7704565451168247,TP,0.25925925925925924,0.20588235294117646,0.25925925925925924
